,ADX
2022-02-28,6.5218
2022-02-25,6.4857
2022-02-24,6.4483
2022-02-23,6.4087
2022-02-22,6.3728
2022-02-18,6.3377
2022-02-17,6.3049
2022-02-16,6.2730
2022-02-15,6.2435
2022-02-14,6.2151
2022-02-11,6.1866
2022-02-10,6.1599
2022-02-09,6.1371
2022-02-08,6.1131
2022-02-07,6.0842
2022-02-04,6.0591
2022-02-03,6.0370
2022-02-02,6.0177
2022-02-01,6.0442
2022-01-31,6.0655
2022-01-28,6.0832
2022-01-27,6.0931
2022-01-26,6.1038
2022-01-25,6.1146
2022-01-24,6.1296
2022-01-21,6.1446
2022-01-20,6.1684
2022-01-19,6.1982
2022-01-18,6.2260
2022-01-14,6.2557
2022-01-13,6.2833
2022-01-12,6.3081
2022-01-11,6.3302
2022-01-10,6.3535
2022-01-07,6.3809
2022-01-06,6.3995
2022-01-05,6.4183
2022-01-04,6.4393
2022-01-03,6.4550
2021-12-31,6.4672
2021-12-30,6.4794
2021-12-29,6.4870
2021-12-28,6.4946
2021-12-27,6.4998
2021-12-23,6.5080
2021-12-22,6.5233
2021-12-21,6.5400
2021-12-20,6.5569
2021-12-17,6.5777
2021-12-16,6.5930
2021-12-15,6.6064
2021-12-14,6.6213
2021-12-13,6.6404
2021-12-10,6.6582
2021-12-09,6.6801
2021-12-08,6.7009
2021-12-07,6.7240
2021-12-06,6.7513
2021-12-03,6.7829
2021-12-02,6.8151
2021-12-01,6.8461
2021-11-30,6.8752
2021-11-29,6.8954
2021-11-26,6.9074
2021-11-24,6.9213
2021-11-23,6.9347
2021-11-22,6.9477
2021-11-19,6.9557
2021-11-18,6.9649
2021-11-17,6.9804
2021-11-16,6.9925
2021-11-15,7.0042
2021-11-12,7.0142
2021-11-11,7.0321
2021-11-10,7.0563
2021-11-09,7.0807
2021-11-08,7.0988
2021-11-05,7.1142
2021-11-04,7.1287
2021-11-03,7.1497
2021-11-02,7.1743
2021-11-01,7.1986
2021-10-29,7.2214
2021-10-28,7.2494
2021-10-27,7.2779
2021-10-26,7.3109
2021-10-25,7.3440
2021-10-22,7.3702
2021-10-21,7.3955
2021-10-20,7.4086
2021-10-19,7.4207
2021-10-18,7.4338
2021-10-15,7.4514
2021-10-14,7.4738
2021-10-13,7.4930
2021-10-12,7.5146
2021-10-11,7.5382
2021-10-08,7.5561
2021-10-07,7.5714
2021-10-06,7.5867
2021-10-05,7.6050
2021-10-04,7.6232
2021-10-01,7.6415
2021-09-30,7.6479
2021-09-29,7.6558
2021-09-28,7.6631
2021-09-27,7.6705
2021-09-24,7.6717
2021-09-23,7.6734
2021-09-22,7.6782
2021-09-21,7.6831
2021-09-20,7.6767
2021-09-17,7.6702
2021-09-16,7.6543
2021-09-15,7.6317
2021-09-14,7.6090
2021-09-13,7.5800
2021-09-10,7.5508
2021-09-09,7.5182
2021-09-08,7.4880
2021-09-07,7.4576
2021-09-03,7.4270
2021-09-02,7.4000
2021-09-01,7.3721
2021-08-31,7.3401
2021-08-30,7.3089
2021-08-27,7.2783
2021-08-26,7.2526
2021-08-25,7.2294
2021-08-24,7.2051
2021-08-23,7.1825
2021-08-20,7.1613
2021-08-19,7.1437
2021-08-18,7.1275
2021-08-17,7.1079
2021-08-16,7.0882
2021-08-13,7.0666
2021-08-12,7.0415
2021-08-11,7.0174
2021-08-10,6.9926
2021-08-09,6.9667
2021-08-06,6.9392
2021-08-05,6.9111
2021-08-04,6.8837
2021-08-03,6.8582
2021-08-02,6.8369
2021-07-30,6.8130
2021-07-29,6.7872
2021-07-28,6.7583
2021-07-27,6.7210
2021-07-26,6.6862
2021-07-23,6.6483
2021-07-22,6.6101
2021-07-21,6.5868
2021-07-20,6.5667
2021-07-19,6.5486
2021-07-16,6.5327
2021-07-15,6.5123
2021-07-14,6.4916
2021-07-13,6.4656
2021-07-12,6.4376
2021-07-09,6.4124
2021-07-08,6.3893
2021-07-07,6.3676
2021-07-06,6.3397
2021-07-02,6.3117
2021-07-01,6.2807
2021-06-30,6.2506
2021-06-29,6.2216
2021-06-28,6.1908
2021-06-25,6.1599
2021-06-24,6.1380
2021-06-23,6.1142
2021-06-22,6.0913
2021-06-21,6.0706
2021-06-18,6.0545
2021-06-17,6.0372
2021-06-16,6.0188
2021-06-15,6.0007
2021-06-14,5.9774
2021-06-11,5.9560
2021-06-10,5.9371
2021-06-09,5.9181
2021-06-08,5.8979
2021-06-07,5.8758
2021-06-04,5.8539
2021-06-03,5.8354
2021-06-02,5.8202
2021-06-01,5.8020
2021-05-28,5.7839
2021-05-27,5.7645
2021-05-26,5.7449
2021-05-25,5.7279
2021-05-24,5.7112
2021-05-21,5.6965
2021-05-20,5.6857
2021-05-19,5.6753
2021-05-18,5.6680
2021-05-17,5.6557
2021-05-14,5.6420
2021-05-13,5.6282
2021-05-12,5.6197
2021-05-11,5.6138
2021-05-10,5.6066
2021-05-07,5.5955
2021-05-06,5.5732
2021-05-05,5.5526
2021-05-04,5.5309
2021-05-03,5.5091
2021-04-30,5.4802
2021-04-29,5.4489
