,1. open,2. high,3. low,4. close,5. volume
2010-11-23,660.0000,660.0000,660.0000,660.0000,0
2010-11-22,660.0000,660.0000,660.0000,660.0000,0
2010-11-19,660.0000,660.0000,660.0000,660.0000,0
2010-11-18,660.0000,660.0000,660.0000,660.0000,0
2010-11-17,660.0000,660.0000,660.0000,660.0000,50
2010-11-16,660.0000,660.0000,660.0000,660.0000,0
2010-11-15,660.0000,660.0000,660.0000,660.0000,0
2010-11-12,660.0000,660.0000,660.0000,660.0000,0
2010-11-11,660.0000,660.0000,660.0000,660.0000,0
2010-11-10,660.0000,660.0000,660.0000,660.0000,10
2010-11-09,660.0000,660.0000,660.0000,660.0000,0
2010-11-08,660.0000,660.0000,660.0000,660.0000,17
2010-11-05,660.0000,660.0000,660.0000,660.0000,0
2010-11-04,660.0000,660.0000,660.0000,660.0000,0
2010-11-03,660.0000,660.0000,660.0000,660.0000,0
2010-11-02,660.0000,660.0000,660.0000,660.0000,0
2010-11-01,660.0000,660.0000,660.0000,660.0000,0
2010-10-29,660.0000,660.0000,660.0000,660.0000,0
2010-10-28,660.0000,660.0000,660.0000,660.0000,22
2010-10-27,660.0000,660.0000,660.0000,660.0000,0
2010-10-26,660.0000,660.0000,660.0000,660.0000,0
2010-10-25,660.0000,660.0000,660.0000,660.0000,0
2010-10-22,660.0000,660.0000,660.0000,660.0000,0
2010-10-21,660.0000,660.0000,660.0000,660.0000,0
2010-10-20,660.0000,660.0000,660.0000,660.0000,0
2010-10-19,660.0000,660.0000,660.0000,660.0000,38
2010-10-18,660.0000,660.0000,660.0000,660.0000,0
2010-10-15,660.0000,660.0000,660.0000,660.0000,0
2010-10-14,660.0000,660.0000,660.0000,660.0000,0
2010-10-13,660.0000,660.0000,660.0000,660.0000,100
2010-10-12,660.0000,660.0000,660.0000,660.0000,0
2010-10-11,660.0000,660.0000,660.0000,660.0000,50
2010-10-08,684.7758,684.7758,684.7758,684.7758,0
2010-10-07,684.7758,684.7758,684.7758,684.7758,0
2010-10-06,684.7758,684.7758,684.7758,684.7758,0
2010-10-05,684.7758,684.7758,684.7758,684.7758,0
2010-10-04,684.7758,684.7758,684.7758,684.7758,0
2010-10-01,684.7758,684.7758,684.7758,684.7758,0
2010-09-30,684.7758,684.7758,684.7758,684.7758,0
2010-09-29,684.7758,684.7758,684.7758,684.7758,0
2010-09-28,684.7758,684.7758,684.7758,684.7758,0
2010-09-27,684.7758,684.7758,684.7758,684.7758,0
2010-09-24,684.7758,684.7758,684.7758,684.7758,0
2010-09-23,684.7758,684.7758,684.7758,684.7758,0
2010-09-22,684.7758,684.7758,684.7758,684.7758,0
2010-09-21,684.7758,684.7758,684.7758,684.7758,0
2010-09-20,684.7758,684.7758,684.7758,684.7758,0
2010-09-17,684.7758,684.7758,684.7758,684.7758,0
2010-09-16,684.7758,684.7758,684.7758,684.7758,0
2010-09-15,684.7758,684.7758,684.7758,684.7758,0
2010-09-14,684.7758,684.7758,684.7758,684.7758,0
2010-09-13,684.7758,684.7758,684.7758,684.7758,0
2010-09-10,684.7758,684.7758,684.7758,684.7758,0
2010-09-09,684.7758,684.7758,684.7758,684.7758,0
2010-09-08,684.7758,684.7758,684.7758,684.7758,0
2010-09-07,684.7758,684.7758,684.7758,684.7758,0
2010-09-03,684.7758,684.7758,684.7758,684.7758,0
2010-09-02,684.7758,684.7758,684.7758,684.7758,0
2010-09-01,684.7758,684.7758,684.7758,684.7758,0
2010-08-31,684.7758,684.7758,684.7758,684.7758,0
2010-08-30,684.7758,684.7758,684.7758,684.7758,0
2010-08-27,684.7758,684.7758,684.7758,684.7758,0
2010-08-26,684.7758,684.7758,684.7758,684.7758,0
2010-08-25,684.7758,684.7758,684.7758,684.7758,0
2010-08-24,684.7758,684.7758,684.7758,684.7758,0
2010-08-23,684.7758,684.7758,684.7758,684.7758,0
2010-08-20,684.7758,684.7758,684.7758,684.7758,0
2010-08-19,684.7758,684.7758,684.7758,684.7758,0
2010-08-18,684.7758,684.7758,684.7758,684.7758,0
2010-08-17,684.7758,684.7758,684.7758,684.7758,0
2010-08-16,684.7758,684.7758,684.7758,684.7758,0
2010-08-13,684.7758,684.7758,684.7758,684.7758,0
2010-08-12,684.7758,684.7758,684.7758,684.7758,10
2010-08-11,684.7758,684.7758,684.7758,684.7758,0
2010-08-10,684.7758,684.7758,684.7758,684.7758,0
2010-08-09,684.7758,684.7758,684.7758,684.7758,0
2010-08-06,684.7758,684.7758,684.7758,684.7758,21
2010-08-05,684.7758,684.7758,684.7758,684.7758,0
2010-08-04,684.7758,684.7758,684.7758,684.7758,0
2010-08-03,684.7758,684.7758,684.7758,684.7758,0
2010-08-02,684.7758,684.7758,684.7758,684.7758,0
2010-07-30,684.7758,684.7758,684.7758,684.7758,0
2010-07-29,684.7758,684.7758,684.7758,684.7758,0
2010-07-28,684.7758,684.7758,684.7758,684.7758,0
2010-07-27,684.7758,684.7758,684.7758,684.7758,0
2010-07-26,684.7758,684.7758,684.7758,684.7758,15
2010-07-23,684.7758,684.7758,684.7758,684.7758,0
2010-07-22,684.7758,684.7758,684.7758,684.7758,0
2010-07-21,684.7758,684.7758,684.7758,684.7758,20
2010-07-20,684.7758,684.7758,684.7758,684.7758,0
2010-07-19,684.7758,684.7758,684.7758,684.7758,10
2010-07-16,684.7758,684.7758,684.7758,684.7758,0
2010-07-15,684.7758,684.7758,684.7758,684.7758,0
2010-07-14,684.7758,684.7758,684.7758,684.7758,0
2010-07-13,684.7758,684.7758,684.7758,684.7758,0
2010-07-12,684.7758,684.7758,684.7758,684.7758,0
2010-07-09,684.7758,684.7758,684.7758,684.7758,0
2010-07-08,684.7758,684.7758,684.7758,684.7758,0
2010-07-07,684.7758,684.7758,684.7758,684.7758,0
2010-07-06,684.7758,684.7758,684.7758,684.7758,0
2010-07-02,684.7758,684.7758,684.7758,684.7758,0
2010-07-01,684.7758,684.7758,684.7758,684.7758,0
2010-06-30,684.7758,684.7758,684.7758,684.7758,0
2010-06-29,684.7758,684.7758,684.7758,684.7758,0
2010-06-28,684.7758,684.7758,684.7758,684.7758,0
2010-06-25,684.7758,684.7758,684.7758,684.7758,0
2010-06-24,684.7758,684.7758,684.7758,684.7758,0
2010-06-23,684.7758,684.7758,684.7758,684.7758,0
2010-06-22,684.7758,684.7758,684.7758,684.7758,0
2010-06-21,684.7758,684.7758,684.7758,684.7758,0
2010-06-18,684.7758,684.7758,684.7758,684.7758,0
2010-06-17,684.7758,684.7758,684.7758,684.7758,0
2010-06-16,684.7758,684.7758,684.7758,684.7758,0
2010-06-15,684.7758,684.7758,684.7758,684.7758,50
2010-06-14,684.7758,684.7758,684.7758,684.7758,0
2010-06-11,684.7758,684.7758,684.7758,684.7758,10
2010-06-10,684.7758,684.7758,684.7758,684.7758,0
2010-06-09,684.7758,684.7758,684.7758,684.7758,0
2010-06-08,684.7758,684.7758,684.7758,684.7758,0
2010-06-07,684.7758,684.7758,684.7758,684.7758,0
2010-06-04,684.7758,684.7758,684.7758,684.7758,0
2010-06-03,684.7758,684.7758,684.7758,684.7758,0
2010-06-02,684.7758,684.7758,684.7758,684.7758,0
2010-06-01,684.7758,684.7758,684.7758,684.7758,0
2010-05-28,684.7758,684.7758,684.7758,684.7758,0
2010-05-27,684.7758,684.7758,684.7758,684.7758,0
2010-05-26,684.7758,684.7758,684.7758,684.7758,200
2010-05-25,684.7758,684.7758,684.7758,684.7758,60
2010-05-24,684.7758,684.7758,684.7758,684.7758,0
2010-05-21,684.7758,684.7758,684.7758,684.7758,0
2010-05-20,684.7758,684.7758,684.7758,684.7758,0
2010-05-19,684.7758,684.7758,684.7758,684.7758,0
2010-05-18,684.7758,684.7758,684.7758,684.7758,0
2010-05-17,684.7758,684.7758,684.7758,684.7758,0
2010-05-14,684.7758,684.7758,684.7758,684.7758,0
2010-05-13,684.7758,684.7758,684.7758,684.7758,0
2010-05-12,684.7758,684.7758,684.7758,684.7758,0
2010-05-11,684.7758,684.7758,684.7758,684.7758,0
2010-05-10,684.7758,684.7758,684.7758,684.7758,0
2010-05-07,684.7758,684.7758,684.7758,684.7758,0
2010-05-06,684.7758,684.7758,684.7758,684.7758,10
2010-05-05,684.7758,684.7758,684.7758,684.7758,0
2010-05-04,684.7758,684.7758,684.7758,684.7758,30
2010-05-03,684.7758,684.7758,684.7758,684.7758,0
2010-04-30,684.7758,684.7758,684.7758,684.7758,0
2010-04-29,684.7758,684.7758,684.7758,684.7758,0
2010-04-28,684.7758,684.7758,684.7758,684.7758,0
2010-04-27,684.7758,684.7758,684.7758,684.7758,0
2010-04-26,684.7758,684.7758,684.7758,684.7758,14
2010-04-23,684.7758,684.7758,684.7758,684.7758,0
2010-04-22,684.7758,684.7758,684.7758,684.7758,0
2010-04-21,684.7758,684.7758,684.7758,684.7758,0
2010-04-20,684.7758,684.7758,684.7758,684.7758,0
2010-04-19,684.7758,684.7758,684.7758,684.7758,0
2010-04-16,684.7758,684.7758,684.7758,684.7758,0
2010-04-15,684.7758,684.7758,684.7758,684.7758,0
2010-04-14,684.7758,684.7758,684.7758,684.7758,4
2010-04-13,684.7758,684.7758,684.7758,684.7758,0
2010-04-12,684.7758,684.7758,684.7758,684.7758,0
2010-04-09,684.7758,684.7758,684.7758,684.7758,30
2010-04-08,684.7758,684.7758,684.7758,684.7758,30
2010-04-07,684.7758,684.7758,684.7758,684.7758,0
2010-04-06,684.7758,684.7758,684.7758,684.7758,108
2010-04-05,684.7758,684.7758,684.7758,684.7758,0
2010-04-01,684.7758,684.7758,684.7758,684.7758,0
2010-03-31,684.7758,684.7758,684.7758,684.7758,4
2010-03-30,684.7758,684.7758,684.7758,684.7758,0
2010-03-29,684.7758,684.7758,684.7758,684.7758,0
2010-03-26,684.7758,684.7758,684.7758,684.7758,0
2010-03-25,684.7758,684.7758,684.7758,684.7758,0
2010-03-24,684.7758,684.7758,684.7758,684.7758,0
2010-03-23,684.7758,684.7758,684.7758,684.7758,35
2010-03-22,684.7758,684.7758,684.7758,684.7758,0
2010-03-19,684.7758,684.7758,684.7758,684.7758,0
2010-03-18,684.7758,684.7758,684.7758,684.7758,27
2010-03-17,684.7758,684.7758,684.7758,684.7758,0
2010-03-16,684.7758,684.7758,684.7758,684.7758,0
2010-03-15,684.7758,684.7758,684.7758,684.7758,0
2010-03-12,684.7758,684.7758,684.7758,684.7758,10
2010-03-11,684.7758,684.7758,684.7758,684.7758,50
2010-03-10,684.7758,684.7758,684.7758,684.7758,0
2010-03-09,684.7758,684.7758,684.7758,684.7758,0
2010-03-08,684.7758,684.7758,684.7758,684.7758,0
2010-03-05,684.7758,684.7758,684.7758,684.7758,0
2010-03-04,684.7758,684.7758,684.7758,684.7758,10
2010-03-03,684.7758,684.7758,684.7758,684.7758,30
2010-03-02,684.7758,684.7758,684.7758,684.7758,0
2010-03-01,684.7758,684.7758,684.7758,684.7758,0
2010-02-26,684.7758,684.7758,684.7758,684.7758,0
2010-02-25,684.7758,684.7758,684.7758,684.7758,0
2010-02-24,684.7758,684.7758,684.7758,684.7758,0
2010-02-23,684.7758,684.7758,684.7758,684.7758,35
2010-02-22,684.7758,684.7758,684.7758,684.7758,30
2010-02-19,684.7758,684.7758,684.7758,684.7758,0
2010-02-18,684.7758,684.7758,684.7758,684.7758,0
2010-02-17,684.7758,684.7758,684.7758,684.7758,0
2010-02-16,684.7758,684.7758,684.7758,684.7758,0
2010-02-12,684.7758,684.7758,684.7758,684.7758,0
2010-02-11,684.7758,684.7758,684.7758,684.7758,0
2010-02-10,684.7758,684.7758,684.7758,684.7758,10
2010-02-09,684.7758,684.7758,684.7758,684.7758,1474
2010-02-08,684.7758,684.7758,684.7758,684.7758,0
2010-02-05,684.7758,684.7758,684.7758,684.7758,0
2010-02-04,684.7758,684.7758,684.7758,684.7758,50
2010-02-03,684.7758,684.7758,684.7758,684.7758,0
2010-02-02,684.7758,684.7758,684.7758,684.7758,15
2010-02-01,684.7758,684.7758,684.7758,684.7758,0
2010-01-29,684.7758,684.7758,684.7758,684.7758,7
2010-01-28,684.7758,684.7758,684.7758,684.7758,0
2010-01-27,684.7758,684.7758,684.7758,684.7758,88
2010-01-26,684.7758,684.7758,684.7758,684.7758,50
