,ADX
2022-09-09,7.0749
2022-09-08,7.0875
2022-09-07,7.0961
2022-09-06,7.1043
2022-09-02,7.1111
2022-09-01,7.1197
2022-08-31,7.1244
2022-08-30,7.1323
2022-08-29,7.1404
2022-08-26,7.1506
2022-08-25,7.1625
2022-08-24,7.1786
2022-08-23,7.1924
2022-08-22,7.2072
2022-08-19,7.2221
2022-08-18,7.2425
2022-08-17,7.2655
2022-08-16,7.2891
2022-08-15,7.3141
2022-08-12,7.3361
2022-08-11,7.3580
2022-08-10,7.3800
2022-08-09,7.4034
2022-08-08,7.4206
2022-08-05,7.4401
2022-08-04,7.4581
2022-08-03,7.4762
2022-08-02,7.4910
2022-08-01,7.5023
2022-07-29,7.5137
2022-07-28,7.5239
2022-07-27,7.5167
2022-07-26,7.5085
2022-07-25,7.4956
2022-07-22,7.4882
2022-07-21,7.4821
2022-07-20,7.4751
2022-07-19,7.4665
2022-07-18,7.4524
2022-07-15,7.4361
2022-07-14,7.4176
2022-07-13,7.3936
2022-07-12,7.3695
2022-07-11,7.3476
2022-07-08,7.3280
2022-07-07,7.3111
2022-07-06,7.2941
2022-07-05,7.2751
2022-07-01,7.2544
2022-06-30,7.2282
2022-06-29,7.2000
2022-06-28,7.1758
2022-06-27,7.1517
2022-06-24,7.1329
2022-06-23,7.1126
2022-06-22,7.0875
2022-06-21,7.0612
2022-06-17,7.0341
2022-06-16,7.0011
2022-06-15,6.9649
2022-06-14,6.9300
2022-06-13,6.8896
2022-06-10,6.8494
2022-06-09,6.8158
2022-06-08,6.7890
2022-06-07,6.7668
2022-06-06,6.7444
2022-06-03,6.7251
2022-06-02,6.7000
2022-06-01,6.6747
2022-05-31,6.6498
2022-05-27,6.6208
2022-05-26,6.5828
2022-05-25,6.5414
2022-05-24,6.4937
2022-05-23,6.4421
2022-05-20,6.3929
2022-05-19,6.3444
2022-05-18,6.2968
2022-05-17,6.2490
2022-05-16,6.2059
2022-05-13,6.1602
2022-05-12,6.1132
2022-05-11,6.0627
2022-05-10,6.0139
2022-05-09,5.9676
2022-05-06,5.9218
2022-05-05,5.8807
2022-05-04,5.8415
2022-05-03,5.8062
2022-05-02,5.7744
2022-04-29,5.7404
2022-04-28,5.7095
2022-04-27,5.6985
2022-04-26,5.6821
2022-04-25,5.6692
2022-04-22,5.6600
2022-04-21,5.6523
2022-04-20,5.6491
2022-04-19,5.6528
2022-04-18,5.6565
2022-04-14,5.6542
2022-04-13,5.6534
2022-04-12,5.6525
2022-04-11,5.6504
2022-04-08,5.6471
2022-04-07,5.6480
2022-04-06,5.6493
2022-04-05,5.6537
2022-04-04,5.6653
2022-04-01,5.6769
2022-03-31,5.6853
2022-03-30,5.6945
2022-03-29,5.7067
2022-03-28,5.7219
2022-03-25,5.7348
2022-03-24,5.7432
2022-03-23,5.7499
2022-03-22,5.7598
2022-03-21,5.7696
2022-03-18,5.7754
2022-03-17,5.7793
2022-03-16,5.7779
2022-03-15,5.7707
2022-03-14,5.7566
2022-03-11,5.7416
2022-03-10,5.7317
2022-03-09,5.7205
2022-03-08,5.6975
2022-03-07,5.6744
2022-03-04,5.6557
2022-03-03,5.6443
2022-03-02,5.6364
2022-03-01,5.6309
2022-02-28,5.6267
